product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/warmfeet-fancy-sneakers-training-gym-shoes-women/p/itmbe75c0e8d86f9?pid=SHOGTHGNZGYFFHR2&lid=LSTSHOGTHGNZGYFFHR2EJLWUP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_4_140&otracker=search&otracker1=search&fm=Search&iid=496ffe0b-bd3c-4b34-b263-e6adc17a9d24.SHOGTHGNZGYFFHR2.SEARCH&ppt=sp&ppn=sp&ssid=s2n6zhylds0000001735941951500&qH=32e27b1148959538,Fancy Sneakers Training & Gym Shoes For Women,WARMFEET,475,0.52,3.8,296
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm6c7db23f2c8ff?pid=SHOFXNU8WFDUFYD2&lid=LSTSHOFXNU8WFDUFYD2FZSQAK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_4_141&otracker=search&otracker1=search&fm=Search&iid=en_yH5jQMtjgfnLKWUlzjKPH27D0gDlVQquDbPtsHJD1VdWJg27vVyXR0lWCesCeSCv44BoR9R8YOfy8spiCLx2Ag%3D%3D&ppt=sp&ppn=sp&ssid=s2n6zhylds0000001735941951500&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/apippo-trendy-shoes-women-casuals/p/itm7fede92890354?pid=SHOGTMVZ2ZGDT8AH&lid=LSTSHOGTMVZ2ZGDT8AHKJINSC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_4_154&otracker=search&otracker1=search&fm=Search&iid=496ffe0b-bd3c-4b34-b263-e6adc17a9d24.SHOGTMVZ2ZGDT8AH.SEARCH&ppt=sp&ppn=sp&ssid=s2n6zhylds0000001735941951500&qH=32e27b1148959538,trendy shoes for women Casuals For Women,APIPPO,444,0.56,3.7,79
https://www.flipkart.com/campus-camp-callie-walking-shoes-women/p/itm4c372eb04ce83?pid=SHOGGE7YXBPEGAKH&lid=LSTSHOGGE7YXBPEGAKHUXCWRT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_4_156&otracker=search&otracker1=search&fm=Search&iid=496ffe0b-bd3c-4b34-b263-e6adc17a9d24.SHOGGE7YXBPEGAKH.SEARCH&ppt=sp&ppn=sp&ssid=s2n6zhylds0000001735941951500&qH=32e27b1148959538,CAMP CALLIE Walking Shoes For Women,CAMPUS,869,0.13,4.2,7494
https://www.flipkart.com/campus-claire-women-s-sports-shoes-memory-foam-insole-cushioned-comfort-lace-up-running-women/p/itm2ea2c55376986?pid=SHOFW9E9WMXVDDRZ&lid=LSTSHOFW9E9WMXVDDRZITIRUQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_4_157&otracker=search&otracker1=search&fm=Search&iid=en_yH5jQMtjgfnLKWUlzjKPH27D0gDlVQquDbPtsHJD1VeSDswBWubSdRblrDD_nAD6-FAEU5Aahc2qv8H89hGAy0hz9c-MSIoFe8xMxkfU6dM%3D&ppt=sp&ppn=sp&ssid=s2n6zhylds0000001735941951500&qH=32e27b1148959538,CLAIRE Women's Sports Shoes | Memory Foam Insole for Cushioned Co...more,CAMPUS,1099,0.21,4.3,47816
https://www.flipkart.com/asian-firefly-10-black-sports-training-gym-walking-stylish-walking-shoes-women/p/itm4c56c26d15622?pid=SHOGHHFGQPUMT9CF&lid=LSTSHOGHHFGQPUMT9CFRFYSUD&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_6_203&otracker=search&otracker1=search&fm=Search&iid=7e94bf40-d7e2-4c8e-9da5-daac90f274cf.SHOGHHFGQPUMT9CF.SEARCH&ppt=sp&ppn=sp&ssid=69fllh4g340000001735941954250&qH=32e27b1148959538,"Firefly-10 Black Sports,Training,Gym,Walking,Stylish Walking Shoe...more",asian,832,0.44,4.2,13627
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itmc0b0d71bdca42?pid=SHOGARZCSQGEWMEM&lid=LSTSHOGARZCSQGEWMEMQHY0JV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_6_207&otracker=search&otracker1=search&fm=Search&iid=7e94bf40-d7e2-4c8e-9da5-daac90f274cf.SHOGARZCSQGEWMEM.SEARCH&ppt=sp&ppn=sp&ssid=69fllh4g340000001735941954250&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite ...more,CAMPUS,969,0.31,4.2,61720
https://www.flipkart.com/campus-lisa-n-walking-shoes-women/p/itm0cabb6f644898?pid=SHOGBAZKUSZY7D9R&lid=LSTSHOGBAZKUSZY7D9RNKWTA9&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_6_218&otracker=search&otracker1=search&fm=Search&iid=7e94bf40-d7e2-4c8e-9da5-daac90f274cf.SHOGBAZKUSZY7D9R.SEARCH&ppt=sp&ppn=sp&ssid=69fllh4g340000001735941954250&qH=32e27b1148959538,LISA Walking Shoes For Women,CAMPUS,767,0.3,4.2,10053
https://www.flipkart.com/walkline-sports-gym-shoes-women-running-casual-women-walking/p/itm310de4bacfa2d?pid=SHOFWBWAMZX6YCG5&lid=LSTSHOFWBWAMZX6YCG55YRMJ5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_6_232&otracker=search&otracker1=search&fm=Search&iid=7e94bf40-d7e2-4c8e-9da5-daac90f274cf.SHOFWBWAMZX6YCG5.SEARCH&ppt=sp&ppn=sp&ssid=69fllh4g340000001735941954250&qH=32e27b1148959538,sports and gym shoes for women|Running and casual shoes for women...more,WalkLine,343,0.66,4.2,12085
https://www.flipkart.com/campus-raye-women-s-sports-shoes-pillofoam-comfort-cushioned-memory-insole-lace-up-running-women/p/itme7a7578a5677a?pid=SHOHF5KZFPMQGT53&lid=LSTSHOHF5KZFPMQGT53UHU04K&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_7_257&otracker=search&otracker1=search&fm=Search&iid=a7acd268-ff2a-4703-928f-1feedce8eb7c.SHOHF5KZFPMQGT53.SEARCH&ppt=sp&ppn=sp&ssid=8m75lkzcio0000001735941955636&qH=32e27b1148959538,"RAYE Pillofoam Cushioning & Impact Protection | For Running, Gym ...more",CAMPUS,979,0.51,4.4,11018
