product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm93503d93679d0?pid=SHOFXNU88FDV8YWT&lid=LSTSHOFXNU88FDV8YWTF26NSY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=FkPickId_osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOFXNU88FDV8YWT.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/layasa-women-s-mesh-sports-shoes-walking-running-women/p/itma1818d01143f3?pid=SHOG62TFETKQZHZE&lid=LSTSHOG62TFETKQZHZECLCOCY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIV9-cjZxIlBIb4TgMxEAXNT4L0MulhLSgXgOMidmPJjPg%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,"Women's Mesh Sports Shoes Walking Running Shoes For Women (Pink ,...more",Layasa,353,0.65,4.1,81784
https://www.flipkart.com/warmfeet-fancy-sneakers-training-gym-shoes-women/p/itmbe75c0e8d86f9?pid=SHOGTHGNZGYFFHR2&lid=LSTSHOGTHGNZGYFFHR2EJLWUP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGTHGNZGYFFHR2.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Fancy Sneakers Training & Gym Shoes For Women,WARMFEET,475,0.52,3.8,296
https://www.flipkart.com/layasa-casual-women-office-wear-daily-use-formal-justhere-running-shoes/p/itme344d8bd259de?pid=SHOGEGZWKPAAEUGF&lid=LSTSHOGEGZWKPAAEUGFDHU90M&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIUSkGL8DwXtZEeTn1Hxs4i0EfYx8LsRZPp-aLvEOf_iBw%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Stylish Casual Sneaker Shoe Sneakers For Women,Layasa,447,0.55,3.8,73943
https://www.flipkart.com/walkline-sports-gym-shoes-women-running-casual-women-walking/p/itm310de4bacfa2d?pid=SHOFWBXMWXRB5HVT&lid=LSTSHOFWBXMWXRB5HVT4GKJN7&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIVw-BfYjuG6B1C7uCR3R_oRRhH3s3mVl9wGAcgbuss5Zg%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,sports and gym shoes for women|Running and casual shoes for women...more,WalkLine,343,0.66,4.2,12085
https://www.flipkart.com/campus-zoe-plus-women-s-casual-shoes-memory-foam-insole-pillo-slip-walking-women/p/itma438d3be26b5f?pid=SHOFXFETDMZTVGVV&lid=LSTSHOFXFETDMZTVGVVZKP2IF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOFXFETDMZTVGVV.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,ZOE PLUS Women's Casual Shoes | Memory Foam Insole with Pillo Foa...more,CAMPUS,699,0.13,4.1,22437
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itm49516edb35b9a?pid=SHOGHU8DDCZHH4W2&lid=LSTSHOGHU8DDCZHH4W2NHOXGS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGHU8DDCZHH4W2.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite ...more,CAMPUS,999,0.29,4.2,61720
https://www.flipkart.com/walkline-sports-gym-shoes-women-running-casual-women-walking/p/itma913deb1331a7?pid=SHOGXBF6HY4NMBCZ&lid=LSTSHOGXBF6HY4NMBCZRPEZDY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_OaHb1dH5v305WDihPqPSYHUZF46GRLBZdgU7s5fZxIXjSmZrF1XKF6y8Yin9stbiN4u5FtccSzVPv5zEJe_SMA%3D%3D&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,sports and gym shoes for women|Running and casual shoes for women...more,WalkLine,340,0.66,4.2,12085
https://www.flipkart.com/hrx-hrithik-roshan-hrx-060-08-running-shoes-women/p/itm32dd11fd957ff?pid=SHOGURYRTJA9YKFY&lid=LSTSHOGURYRTJA9YKFYNYGWHR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGURYRTJA9YKFY.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,HR-060 08 Running Shoes For Women,HRX by Hrithik Roshan,1098,0.63,4.1,5757
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itm826747b2a727e?pid=SHOH3YZGR5JC3RG2&lid=LSTSHOH3YZGR5JC3RG2HDOYPW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=TrendingId_osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOH3YZGR5JC3RG2.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,Athleisure Shoes for Women |Cultured Round-Toe Shape & Cushioning...more,REDTAPE,1803,0.81,4.1,1497
https://www.flipkart.com/campus-camp-eloy-walking-shoes-women/p/itmd181ea713e1c2?pid=SHOGMNPSHJAVZXSZ&lid=LSTSHOGMNPSHJAVZXSZTBOKKK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGMNPSHJAVZXSZ.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,CAMP ELOY Walking Shoes For Women,CAMPUS,899,0.1,4.3,15603
https://www.flipkart.com/apippo-trendy-shoes-women-casuals/p/itm7fede92890354?pid=SHOGTMVZ2ZGDT8AH&lid=LSTSHOGTMVZ2ZGDT8AHKJINSC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_36&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOGTMVZ2ZGDT8AH.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,trendy shoes for women Casuals For Women,APIPPO,444,0.56,3.7,79
